name;team;position;age;fantasycalcId;sleeperId;mflId;value;overallRank;positionRank;trend30day
"David Njoku";"CLE";"TE";29.2;6513;"4033";"13192";542;122;17;-965
"Rachaad White";"TB";"RB";26.7;2187;"8136";"15721";536;123;39;252
"Rashid Shaheed";"NO";"WR";27.1;2354;"8676";"16080";502;124;51;12
"Elic Ayomanor";"TEN";"WR";22.3;12623;"12499";"17073";501;125;52;465
"Bhayshul Tuten";"JAX";"RB";23.6;12620;"12490";"17052";498;126;40;323
"Aaron Jones";"MIN";"RB";30.9;2382;"4199";"13319";486;127;41;-1638
"Jaxson Dart";"NYG";"QB";22.4;12609;"12508";"17032";444;128;18;368
"Daniel Jones";"IND";"QB";28.4;5;"5870";"14059";410;129;19;294
"Hollywood Brown";"KC";"WR";28.3;3950;"5848";"14105";398;130;53;258
"Tre Tucker";"LV";"WR";24.6;9873;"10213";"16287";394;131;54;405
"Harold Fannin";"CLE";"TE";21.2;12659;"12506";"17103";367;132;18;376
"Troy Franklin";"DEN";"WR";22.7;11738;"11627";"16619";357;133;55;367
"Brian Robinson";"WAS";"RB";26.5;4174;"8154";"15716";353;134;42;-410
"Kareem Hunt";"KC";"RB";30.2;6621;"4098";"13138";349;135;43;287
"Josh Downs";"IND";"WR";24.2;9936;"9500";"16187";323;136;56;-382
"Brandon Aiyuk";"SF";"WR";27.6;6429;"6803";"14840";291;137;57;-166
"C.J. Stroud";"HOU";"QB";24;9838;"9758";"16150";285;138;20;-438
"Geno Smith";"LV";"QB";35;6305;"1373";"11150";280;139;21;105
"Brenton Strange";"JAX";"TE";24.8;9948;"9480";"16269";276;140;19;150
"Darnell Mooney";"ATL";"WR";27.9;3901;"7090";"14974";255;141;58;-353
"Sam Darnold";"SEA";"QB";28.3;8007;"4943";"13592";254;142;22;148
"Tyquan Thornton";"KC";"WR";25.2;5858;"8188";"15787";250;143;59;257
"Joe Mixon";"HOU";"RB";29.2;4578;"4018";"13131";249;144;44;-1330
"Tyler Allgeier";"ATL";"RB";25.5;6408;"8132";"15712";240;145;45;65
"Blake Corum";"LAR";"RB";24.9;11747;"11586";"16593";226;146;46;174
"Trevor Lawrence";"JAX";"QB";26;1086;"7523";"15237";226;147;23;-251
"Ollie Gordon";"MIA";"RB";21.7;12616;"12495";"17059";220;148;47;-345
"Christian Kirk";"HOU";"WR";28.9;8090;"4950";"13633";194;149;60;-137
"Tyrone Tracy";"NYG";"RB";25.9;12123;"11655";"16747";185;150;48;-1444
"Luther Burden";"CHI";"WR";21.8;12590;"12519";"17070";172;151;61;-142
"Michael Penix";"ATL";"QB";25.4;11739;"11559";"16583";165;152;24;-159
"Tyjae Spears";"TEN";"RB";24.3;9817;"9508";"16165";156;153;49;-19
"Tua Tagovailoa";"MIA";"QB";27.6;6092;"6768";"14778";148;154;25;-66
"Cameron Ward";"TEN";"QB";23.4;12603;"12522";"17030";136;155;26;-135
"Calvin Austin";"PIT";"WR";26.5;4996;"8125";"15777";127;156;62;131
"Aaron Rodgers";"PIT";"QB";41.9;715;"96";"7836";123;157;27;18
"Evan Engram";"DEN";"TE";31.1;3648;"4066";"13189";114;158;20;-1097
"Cedric Tillman";"CLE";"WR";25.5;9904;"10444";"16191";106;159;63;-103
"Bryce Young";"CAR";"QB";24.2;9944;"9228";"16148";101;160;28;-165
"J.J. McCarthy";"MIN";"QB";22.7;11740;"11565";"16584";97;161;29;-602
"Braelon Allen";"NYJ";"RB";21.7;11748;"11576";"16596";91;162;50;-308
"Chris Rodriguez";"WAS";"RB";26;9831;"10219";"16174";85;163;51;53
"Marvin Mims";"DEN";"WR";23.6;9955;"9494";"16189";83;164;64;-231
"Kaleb Johnson";"PIT";"RB";22.1;12598;"12504";"17048";73;165;52;-1200
"Jake Browning";"CIN";"QB";29.5;438;"6111";"14358";72;166;30;76
"Chig Okonkwo";"TEN";"TE";26.1;722;"8210";"15889";64;167;21;15
"Jonnu Smith";"PIT";"TE";30.1;4185;"4144";"13193";63;168;22;-93
"Kyle Monangai";"CHI";"RB";23.3;12711;"12534";"17066";62;169;53;62
"Kayshon Boutte";"NE";"WR";23.4;9939;"9504";"16193";62;170;65;64
"Rico Dowdle";"CAR";"RB";27.3;1465;"7021";"14823";62;171;54;20
"Carson Wentz";"null";"QB";32.8;7100;"3161";"12610";60;172;31;63
"Tory Horton";"SEA";"WR";22.9;12637;"12497";"17098";56;173;66;58
"Dylan Sampson";"CLE";"RB";21.1;12638;"12469";"17047";44;174;55;-345
"Spencer Rattler";"NO";"QB";25;11719;"11562";"16586";38;175;32;-10
"Isaiah Likely";"BAL";"TE";25.5;7402;"8131";"15798";38;176;23;-30
"Rashod Bateman";"BAL";"WR";25.9;7410;"7571";"15293";36;177;67;-107
"Darren Waller";"MIA";"TE";33.1;4485;"2505";"12263";35;178;24;36
"Jayden Reed";"GB";"WR";25.4;9863;"10222";"16184";34;179;68;-664
"Jeremy McNichols";"WAS";"RB";29.8;4220;"4219";"13143";33;180;56;33
"Ray Davis";"BUF";"RB";25.9;11699;"11575";"16603";32;181;57;-131
"DeAndre Hopkins";"BAL";"WR";33.3;4681;"1426";"11232";23;182;69;24
"Jalen Tolbert";"DAL";"WR";26.6;2144;"8117";"15788";22;183;70;23
"KaVontae Turpin";"DAL";"WR";29.2;4302;"8917";"15981";19;184;71;20
"Joe Flacco";"CLE";"QB";40.7;2323;"19";"9064";19;185;33;-15
"Jalen Coker";"CAR";"WR";23.9;11783;"11646";"16809";19;186;72;-25
"Dont'e Thornton";"LV";"WR";22.9;12706;"12541";"17087";17;187;73;-186
"Sterling Shepard";"TB";"WR";32.7;6747;"3200";"12658";17;188;74;18
"Miles Sanders";"DAL";"RB";28.4;5455;"6151";"14079";16;189;58;16
"Colston Loveland";"CHI";"TE";21.5;12578;"12517";"17104";7;190;25;-743
"Parker Washington";"JAX";"WR";23.5;9894;"9487";"16192";3;191;75;4
"Kendre Miller";"NO";"RB";23.3;9960;"9757";"16171";1;192;59;1
